UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Vibration Levels ,Operational Hours,Failure Type
1,M14860,M,298.1,308.6,1551,42.8,42,20.00,No Failure
2,L47181,L,298.2,308.7,1408,46.3,52,21.00,No Failure
3,L47182,L,298.1,308.5,1498,49.4,44,18.00,No Failure
4,L47183,L,298.2,308.6,1433,39.5,52,10.00,No Failure
5,L47184,L,298.2,308.7,1408,40,44,10.00,No Failure
6,M14865,M,298.1,308.6,1425,41.9,35,24.00,No Failure
7,L47186,L,298.1,308.6,1558,42.4,36,20.00,No Failure
8,L47187,L,298.1,308.6,1527,40.2,33,14.00,No Failure
9,M14868,M,298.3,308.7,1667,28.6,23,22.00,No Failure
10,M14869,M,298.5,309,1741,28,45,22.00,No Failure
11,H29424,H,298.4,308.9,1782,23.9,55,19.73,No Failure
12,H29425,H,298.6,309.1,1423,44.3,45,20.03,No Failure
13,M14872,M,298.6,309.1,1339,51.1,34,20.33,No Failure
14,M14873,M,298.6,309.2,1742,30,34,20.62,No Failure
15,L47194,L,298.6,309.2,2035,19.6,23,20.92,No Failure
16,L47195,L,298.6,309.2,1542,48.4,42,21.22,No Failure
17,M14876,M,298.6,309.2,1311,46.6,54,21.52,No Failure
18,M14877,M,298.7,309.2,1410,45.6,55,21.81,No Failure
19,H29432,H,298.8,309.2,1306,54.5,54,22.11,No Failure
20,M14879,M,298.9,309.3,1632,32.5,34,22.41,No Failure
21,H29434,H,298.9,309.3,1375,42.7,33,22.70,No Failure
22,L47201,L,298.8,309.3,1450,44.8,23,23.00,No Failure
23,M14882,M,298.9,309.3,1581,30.7,24,23.30,No Failure
24,L47203,L,299,309.4,1758,25.7,36,23.59,No Failure
25,M14884,M,299,309.4,1561,37.3,34,23.89,No Failure
26,L47205,L,299,309.5,1861,23.3,35,24.19,No Failure
27,L47206,L,299.1,309.5,1512,39,36,24.48,No Failure
28,H29441,H,299.1,309.4,1811,24.6,37,24.78,No Failure
29,L47208,L,299.1,309.4,1439,44.2,38,25.08,No Failure
30,L47209,L,299,309.4,1693,30.1,39,25.38,No Failure
31,M14890,M,299.1,309.5,1339,48.2,40,25.67,No Failure
32,L47211,L,299,309.4,1798,25.5,34.56129032,25.97,No Failure
33,L47212,L,299,309.4,1419,48.3,34.27983871,26.27,No Failure
34,L47213,L,298.9,309.3,1665,32.5,33.9983871,26.56,No Failure
35,M14894,M,298.8,309.1,1559,34.7,33.71693548,26.86,No Failure
36,M14895,M,298.8,309.2,1452,48.6,33.43548387,27.16,No Failure
37,M14896,M,298.9,309.2,1581,36.7,33.15403226,27.45,No Failure
38,L47217,L,298.8,309.1,1439,39.2,32.87258065,27.75,No Failure
39,H29452,H,298.9,309.2,1379,50.7,32.59112903,28.05,No Failure
40,L47219,L,298.8,309.1,1350,52.5,32.30967742,28.35,No Failure
41,L47220,L,298.8,309.1,1362,45.4,32.02822581,28.64,No Failure
42,L47221,L,298.8,309.1,1368,50.8,31.74677419,28.94,No Failure
43,M14902,M,298.8,309.1,1368,49.1,31.46532258,29.24,No Failure
44,H29457,H,298.8,309.2,1372,48.5,31.18387097,29.53,No Failure
45,M14904,M,298.8,309.1,1472,47.5,30.90241935,29.83,No Failure
46,L47225,L,298.8,309.1,1489,49.1,30.62096774,30.13,No Failure
47,M14906,M,298.7,309,1843,25.8,30.33951613,30.42,No Failure
48,L47227,L,298.8,309.1,1418,46.3,30.05806452,30.72,No Failure
49,H29462,H,298.8,309.2,1425,53.9,29.7766129,31.02,No Failure
50,M14909,M,298.9,309.2,1412,44.1,29.49516129,31.32,No Failure
51,L47230,L,298.9,309.1,2861,4.6,29.21370968,48.00,Power Failure
52,L47231,L,298.9,309.1,1383,54.9,28.93225806,24.00,No Failure
53,H29466,H,298.8,309,1497,43.8,28.65080645,20.00,No Failure
54,L47233,L,298.7,309,1565,35.1,28.36935484,22.00,No Failure
55,L47234,L,298.7,309,1691,30.1,28.08790323,14.00,No Failure
56,L47235,L,298.8,309.1,1512,40.7,27.80645161,15.00,No Failure
57,L47236,L,298.8,309.1,1477,42.4,27.525,58.00,No Failure
58,L47237,L,298.8,309.1,1513,40.3,27.24354839,22.00,No Failure
59,M14918,M,298.8,309,1661,29.5,26.96209677,36.00,No Failure
60,L47239,L,298.8,309.1,1378,54.4,26.68064516,14.00,No Failure
61,L47240,L,298.8,309.1,1393,52.6,26.39919355,21.00,No Failure
62,M14921,M,298.8,309,1592,38.2,26.11774194,26.87,No Failure
63,L47242,L,298.8,309,1829,22.9,25.83629032,27.28,No Failure
64,M14923,M,298.9,309,1812,25.9,25.55483871,27.69,No Failure
65,L47244,L,299,309.1,1523,38.6,25.2733871,28.10,No Failure
66,L47245,L,299,309.1,1394,45.1,24.99193548,28.52,No Failure
67,M14926,M,298.9,308.9,1679,28.7,24.71048387,28.93,No Failure
